comparacion,unidad_analisis,n_categorias,sesiones_por_perfil,medida_efecto,efecto_r_rb,IC95_bootstrap_inf,IC95_bootstrap_sup,bootstrap_replicas,seed,media_diferencia_Tec_menos_NoTec,mediana_diferencia_Tec_menos_NoTec,categorias_Tec_mayor,categorias_NoTec_mayor,categorias_iguales,direccion,alcance
Presencia de categorias por sesiones,Categoria tematica pareada,18,3,Correlacion biserial por rangos pareada,0.637363,0.100000,1.000000,10000,4012026,0.611111,1.000000,11,2,5,Positivo = mayor presencia/conteo en perfil tecnico,Descriptivo-exploratorio; 3 sesiones por perfil; no implica diferencia poblacional.
Fragmentos codificados por categoria,Categoria tematica pareada,18,3,Correlacion biserial por rangos pareada,0.716667,0.286765,1.000000,10000,4012026,1.222222,1.000000,12,3,3,Positivo = mayor presencia/conteo en perfil tecnico,Descriptivo-exploratorio; 3 sesiones por perfil; no implica diferencia poblacional.
